time/s,Ecell/V,Capacity/mA.h,cycle number,Q discharge/mA.h,Q charge/mA.h
16792.85079761758,3.2509506,0.2754537978830098,0.0,0.0,0.2754537978830098
16797.85079785506,3.2513838,0.2755581935207621,0.0,0.0,0.2755581935207621
16802.85079809255,3.2516987,0.2756625889704079,0.0,0.0,0.2756625889704079
16807.85079833004,3.2520137,0.2757669846069763,0.0,0.0,0.2757669846069763
16812.85079856752,3.2525649,0.275871380610163,0.0,0.0,0.275871380610163
16817.85079880501,3.2529192,0.2759757766165617,0.0,0.0,0.2759757766165617
16822.8507990425,3.2532737,0.2760801725662118,0.0,0.0,0.2760801725662118
16827.85079927999,3.253746,0.2761845684424862,0.0,0.0,0.2761845684424862
16832.85079951747,3.2540216,0.2762889642771366,0.0,0.0,0.2762889642771366
16837.85079975496,3.2544155,0.2763933602692551,0.0,0.0,0.2763933602692551
16842.85079999245,3.2548485,0.2764977564234444,0.0,0.0,0.2764977564234444
16847.85080022994,3.2553604,0.2766021525993687,0.0,0.0,0.2766021525993687
16852.85080046742,3.2555573,0.2767065489110342,0.0,0.0,0.2767065489110342
16857.85080070491,3.2559512,0.2768109449458983,0.0,0.0,0.2768109449458983
16862.8508009424,3.2564235,0.2769153410933241,0.0,0.0,0.2769153410933241
16867.85080117988,3.2568567,0.2770197369848307,0.0,0.0,0.2770197369848307
16872.85080141737,3.2571716,0.2771241329475608,0.0,0.0,0.2771241329475608
16877.85080165486,3.2576048,0.2772285291079713,0.0,0.0,0.2772285291079713
16882.85080189235,3.2581167,0.2773329251254135,0.0,0.0,0.2773329251254135
16887.85080212983,3.2583528,0.2774373210902628,0.0,0.0,0.2774373210902628
16892.85080236732,3.258786,0.2775417173744937,0.0,0.0,0.2775417173744937
16897.85080260481,3.2591009,0.2776461136433102,0.0,0.0,0.2776461136433102
16902.85080284229,3.2595735,0.2777505097154313,0.0,0.0,0.2777505097154313
16907.85080307978,3.2598491,0.2778549056442239,0.0,0.0,0.2778549056442239
16912.85080331727,3.260164,0.2779593013586841,0.0,0.0,0.2779593013586841
16917.85080355476,3.2606759,0.2780636971069947,0.0,0.0,0.2780636971069947
16922.85080379224,3.2611878,0.2781680929876566,0.0,0.0,0.2781680929876566
16927.85080402973,3.2614241,0.2782724889874574,0.0,0.0,0.2782724889874574
16932.85080426722,3.2618966,0.2783768848418395,0.0,0.0,0.2783768848418395
16937.85080450471,3.2623689,0.278481280792483,0.0,0.0,0.278481280792483
16942.85080474219,3.2626445,0.2785856766984189,0.0,0.0,0.2785856766984189
16947.85080497968,3.2629991,0.278690072380142,0.0,0.0,0.278690072380142
16952.85080521717,3.2634714,0.2787944684433721,0.0,0.0,0.2787944684433721
16957.85080545465,3.2638259,0.2788988643416092,0.0,0.0,0.2788988643416092
16962.85080569214,3.2642982,0.2790032599532389,0.0,0.0,0.2790032599532389
16967.85080592963,3.2646921,0.279107655476335,0.0,0.0,0.279107655476335
16972.85080616712,3.2650857,0.2792120512366824,0.0,0.0,0.2792120512366824
16977.8508064046,3.2654796,0.2793164469729976,0.0,0.0,0.2793164469729976
16982.85080664209,3.2659125,0.2794208428579767,0.0,0.0,0.2794208428579767
16987.85080687958,3.2662277,0.2795252383832377,0.0,0.0,0.2795252383832377
16992.85080711707,3.2667,0.2796296339237806,0.0,0.0,0.2796296339237806
