specific_capacity,voltage,direction
147.0373076,1.6347309,charge
147.5055873,1.6350365,charge
147.973871,1.6352198,charge
148.442156,1.6353801,charge
148.9104321,1.6357163,charge
149.3787061,1.635995,charge
149.846977,1.6361363,charge
150.3152545,1.6363769,charge
150.7835236,1.6365908,charge
151.2517947,1.6367283,charge
151.7200722,1.637072,charge
152.1883566,1.6373278,charge
152.6566404,1.6374806,charge
153.1249168,1.637683,charge
153.5931943,1.6379656,charge
154.0614727,1.6381603,charge
154.52976,1.6383857,charge
154.9980435,1.6386262,charge
155.4663273,1.6387866,charge
155.9346145,1.6389852,charge
156.4029008,1.6392487,charge
156.8711783,1.6394778,charge
157.3394539,1.6396803,charge
157.8077266,1.639852,charge
158.2759945,1.6400583,charge
158.7442625,1.6403065,charge
159.2125342,1.6405356,charge
159.6808073,1.6407763,charge
160.1490805,1.6409061,charge
160.6173624,1.6412078,charge
161.0856387,1.6413451,charge
161.5539148,1.6415286,charge
162.0221892,1.6417309,charge
162.4904614,1.6419257,charge
162.9587389,1.6421243,charge
163.4270004,1.6423649,charge
163.8952576,1.6425749,charge
164.3635216,1.6426933,charge
164.8317931,1.6430523,charge
165.3000617,1.6432165,charge
165.7683281,1.643396,charge
166.2365983,1.6435449,charge
166.7048764,1.6437588,charge
167.1731574,1.6439993,charge
167.6414379,1.6441025,charge
168.1097106,1.6444957,charge
168.5779852,1.6445378,charge
169.0462572,1.6447288,charge
169.514532,1.6448969,charge
169.9828025,1.6450915,charge
170.4510794,1.6453398,charge
170.9193526,1.6455193,charge
171.3876267,1.6457484,charge
171.8558948,1.6458477,charge
172.3241686,1.646134,charge
172.7924403,1.6462641,charge
173.2607163,1.6465198,charge
173.7289813,1.6466688,charge
174.1972449,1.6468482,charge
174.6655024,1.6470468,charge
175.1337575,1.6472645,charge
175.6020135,1.647402,charge
176.0702773,1.6476045,charge
176.5385463,1.6476769,charge
177.0068196,1.6479939,charge
177.4750836,1.6480742,charge
177.943347,1.6483719,charge
178.4116136,1.64854,charge
178.8798795,1.6486584,charge
179.3481384,1.648792,charge
179.8163961,1.6490097,charge
180.2846517,1.6492465,charge
180.7529056,1.649487,charge
181.2211547,1.6496208,charge
181.6894191,1.6497811,charge
182.1576818,1.6499606,charge
182.6259523,1.6500752,charge
183.0942192,1.6503884,charge
183.5624838,1.6504685,charge
184.0307519,1.650713,charge
184.4990071,1.6507856,charge
184.9672647,1.6509612,charge
185.4355223,1.6511636,charge
185.9037794,1.6512589,charge
186.3720297,1.6514767,charge
186.8402867,1.6517211,charge
187.3085527,1.6518892,charge
187.7768143,1.6519885,charge
188.2450814,1.6521717,charge
188.7133503,1.652378,charge
189.1816235,1.6524773,charge
189.6499036,1.65263,charge
190.1181817,1.6528171,charge
190.5864523,1.6530539,charge
191.0547261,1.6531761,charge
191.5230074,1.6533175,charge
191.9912853,1.6535236,charge
192.4595523,1.6536802,charge
192.9278165,1.6538979,charge
193.3960882,1.6540278,charge
193.8643575,1.65415,charge
194.3326266,1.6543981,charge
194.8008842,1.6545165,charge
195.2691427,1.6547265,charge
195.7373995,1.6548833,charge
196.2056476,1.6550512,charge
196.6738947,1.6552041,charge
197.1421439,1.6553987,charge
197.6103864,1.6555667,charge
198.0786298,1.6556393,charge
198.5468786,1.6558837,charge
199.0151259,1.6559485,charge
199.4833856,1.6560594,charge
199.9516502,1.6563495,charge
200.4199051,1.6565329,charge
200.8881671,1.6568232,charge
201.3564239,1.6568041,charge
201.8246785,1.6570064,charge
202.2929411,1.6571707,charge
202.7612041,1.6573081,charge
203.2294678,1.6574686,charge
203.6977358,1.6576174,charge
204.1659913,1.6577053,charge
204.634252,1.6578619,charge
205.1025275,1.6580986,charge
205.5708065,1.6581864,charge
206.039078,1.6583354,charge
206.5073597,1.6585035,charge
206.9756468,1.6586447,charge
207.4439347,1.6588738,charge
207.9122126,1.6589273,charge
208.3804799,1.6592062,charge
208.8487533,1.6594505,charge
209.3170236,1.6595002,charge
209.7852977,1.6595842,charge
210.2535786,1.6598668,charge
210.7218696,1.6599545,charge
211.1901586,1.6600119,charge
211.6584472,1.6602793,charge
212.1267282,1.6603518,charge
212.5949997,1.6605465,charge
213.0632734,1.6607337,charge
213.531546,1.6608673,charge
213.9998266,1.6609857,charge
214.4681012,1.6611193,charge
214.9363791,1.6612951,charge
215.404661,1.6614172,charge
215.8729392,1.6615585,charge
216.3412189,1.6617037,charge
216.8094975,1.6619366,charge
217.2777733,1.6619902,charge
217.746054,1.6621238,charge
218.2143328,1.6622956,charge
218.6826033,1.662433,charge
219.1508786,1.662624,charge
219.61916,1.6627576,charge
220.0874462,1.6628798,charge
220.5557248,1.6630136,charge
221.0239971,1.6632046,charge
221.4922678,1.6632427,charge
221.960548,1.6634108,charge
222.4288184,1.6634451,charge
222.8970919,1.6637238,charge
223.365368,1.6638384,charge
223.8336423,1.6641096,charge
224.3019178,1.6643349,charge
224.7701986,1.6642661,charge
225.238474,1.6644571,charge
225.7067481,1.6646595,charge
226.1750204,1.6647663,charge
226.6432953,1.6649115,charge
227.1115784,1.6651216,charge
227.5798576,1.6652476,charge
228.0481343,1.6652973,charge
228.5164112,1.6655148,charge
228.984688,1.6656066,charge
229.4529546,1.6657555,charge
229.9212287,1.6658701,charge
230.3895119,1.6660763,charge
230.8577951,1.6661984,charge
231.3260826,1.6663053,charge
231.7943709,1.6663971,charge
232.2626599,1.666546,charge
232.7309383,1.6667101,charge
233.1992196,1.6668096,charge
233.6674923,1.6669623,charge
234.1357588,1.667073,charge
234.6040237,1.6671952,charge
235.0722945,1.6673861,charge
235.5405718,1.6675007,charge
236.0088521,1.6677527,charge
236.4771348,1.6678214,charge
236.945416,1.6678749,charge
237.4137022,1.6680201,charge
237.8819854,1.6681423,charge
238.3502624,1.6683484,charge
238.8185346,1.6683332,charge
239.2868193,1.6685739,charge
239.7551119,1.6685661,charge
240.2234092,1.6687877,charge
240.6916952,1.6689595,charge
241.1599775,1.6690779,charge
241.6282455,1.6692039,charge
242.0965123,1.6693375,charge
242.5647839,1.6694674,charge
243.033059,1.6695361,charge
243.5013284,1.6697004,charge
243.9696036,1.6698914,charge
244.4378808,1.6699716,charge
244.9061573,1.670086,charge
245.3744397,1.6702656,charge
245.8427223,1.670403,charge
246.3109948,1.6704031,charge
246.7792733,1.6706856,charge
247.2475625,1.6707392,charge
247.7158476,1.6709453,charge
248.1841307,1.6710484,charge
248.6524111,1.671079,charge
249.1206858,1.6712165,charge
249.5889662,1.6713654,charge
250.0572473,1.671564,charge
250.5255329,1.6715716,charge
250.9938161,1.6717625,charge
251.4621039,1.6719191,charge
251.9303861,1.6720948,charge
252.3986606,1.6721635,charge
252.8669319,1.6722094,charge
253.3352072,1.6724004,charge
253.8034835,1.6725607,charge
254.2717714,1.6726103,charge
254.7400515,1.6728243,charge
255.2083276,1.6728548,charge
255.6766115,1.6730723,charge
256.1449021,1.6731489,charge
256.6131968,1.6733741,charge
257.0814903,1.6733702,charge
257.549779,1.6734849,charge
258.0180643,1.673714,charge
258.4863468,1.6736796,charge
258.9546251,1.6738935,charge
259.4228961,1.6739584,charge
259.8911631,1.6741456,charge
260.3594318,1.6742029,charge
260.8277024,1.6743326,charge
261.2959778,1.6744549,charge
261.7642586,1.6744893,charge
262.2325296,1.6747031,charge
262.7008016,1.6748482,charge
263.1690773,1.6749284,charge
263.6373563,1.6751231,charge
264.1056385,1.6752148,charge
264.5739198,1.6753064,charge
265.0421957,1.6754211,charge
265.510464,1.6755433,charge
265.978737,1.6755815,charge
266.4470122,1.6757914,charge
266.9152875,1.6758641,charge
267.3835523,1.6760321,charge
267.8518239,1.6760855,charge
268.3201019,1.6761237,charge
268.7883793,1.6763605,charge
269.2566514,1.6764406,charge
269.7249159,1.676582,charge
270.1931737,1.676685,charge
270.66144,1.6768035,charge
271.1296989,1.6770746,charge
271.5979588,1.6771166,charge
272.0662227,1.6771243,charge
272.5344829,1.6772733,charge
273.0027429,1.6773839,charge
273.4710136,1.6774833,charge
273.9392861,1.6777085,charge
274.4075482,1.677762,charge
274.8758078,1.6779453,charge
275.3440667,1.6779988,charge
275.8123298,1.6781362,charge
276.2805914,1.6782317,charge
276.7488524,1.6783426,charge
277.2171107,1.6785334,charge
277.6853755,1.678583,charge
278.1536377,1.678774,charge
278.6218997,1.6788083,charge
279.0901623,1.6788771,charge
279.5584294,1.6790833,charge
280.0266988,1.6791331,charge
280.4949664,1.6792628,charge
280.9632367,1.6794423,charge
281.4315019,1.6795492,charge
281.8997593,1.6794806,charge
282.3680184,1.6797822,charge
282.8362751,1.6798432,charge
283.3045364,1.6799922,charge
283.7727993,1.6800343,charge
284.2410699,1.6801144,charge
284.7093386,1.6802289,charge
285.1775981,1.6804199,charge
285.6458553,1.6805345,charge
286.1141151,1.6805918,charge
286.5823729,1.6807255,charge
287.0506329,1.6809012,charge
287.518884,1.680882,charge
287.9871431,1.6810577,charge
288.4554116,1.6811455,charge
288.9236741,1.6812525,charge
289.3919299,1.6811608,charge
289.8601884,1.6814854,charge
290.3284472,1.6816267,charge
290.796709,1.6816496,charge
291.2649742,1.6817719,charge
291.7332424,1.6819971,charge
292.2015088,1.681978,charge
292.6697646,1.6821842,charge
293.1380127,1.6821461,charge
293.6062516,1.6823103,charge
294.074496,1.6824592,charge
294.5427488,1.6823064,charge
295.0109912,1.6825929,charge
295.4792412,1.6826998,charge
295.947496,1.6827991,charge
296.4157541,1.6829518,charge
296.8840159,1.683032,charge
297.3522774,1.6831084,charge
297.8205435,1.6831887,charge
298.2888069,1.6833681,charge
298.7570595,1.6834865,charge
299.2253237,1.6835819,charge
299.6935921,1.6836851,charge
300.1618666,1.6836966,charge
300.6301345,1.6838951,charge
301.098398,1.6839218,charge
301.5666607,1.6840631,charge
302.0349161,1.6841357,charge
302.5031754,1.6843687,charge
302.9714354,1.6844717,charge
303.4396945,1.6844527,charge
